movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
the-dark-knight;10;KingYP;/user/KingYP;Jul 24, 2012;"[ ""The Dark Knight was a revolutionary movie of its kind (Superhero movies). It really brings out the darker side to what being a superhero is and how it can affect that person as well as the people around him/her. Not only was unique to other superhero movies but it was superior to them as well as many other movies in terms of acting, special effects and the lasting appeal. Honestly words dont describe how well Heath Ledger played The Joker, as well as the life and 'madness' he brought into this movie. Take the first scene of this movie, where the Joker and his men robbed the bank, and how he tricked them into killing eachother. I have never seen a more absorbing first scene to a movie. Yes I agree that Christian Bale could of put a little more then a deep voice into the Batman character, but being how he was, he really made the villains in the movie (Two Face and Joker) shine. This movie brought a lot to the movie industry and would be hard to top as a superhero movie. I think this movie outshone both the Avengers and The Dark Knight Rises in almost all aspects and should not be treated as merely any old movie. Overall it tops my list and I highly encourage everyone to watch it."" ]";2.0;3.0;2.0;1.0;inf;10
x-men-days-of-future-past;10;Smee;/user/Smee;Jun 13, 2014;[];0.0;2.0;0.0;2.0;inf;10
the-croods;10;Smee;/user/Smee;Apr  6, 2013;[];1.0;1.0;1.0;0.0;inf;10
rush;10;Smee;/user/Smee;Jan 12, 2014;[];1.0;2.0;1.0;1.0;inf;10
iron-man-3;10;Gary64;/user/Gary64;Aug 26, 2013;"[ ""I didn't like Iron Man 2, but 3 I love it."", ""I hate sequels, I hate watching same characters, story. I thought it is another Iron Man same movie."", ""but this movie is completely different movie what I was expecting, completely new different movie, ideas."", ""That's what I love about it. Everything was great. Great villains, battle scenes."", ""Robert Downey Jr. is great, just too perfect to be Iron Man."", ""It really surprise me."" ]";2.0;3.0;2.0;1.0;inf;10
elysium;10;Gary64;/user/Gary64;Aug 25, 2013;[];0.0;2.0;0.0;2.0;inf;10
django-unchained;10;Chris_DK;/user/Chris_DK;Oct  7, 2013;[];0.0;0.0;0.0;0.0;inf;10
spider-man-2;10;Chris_DK;/user/Chris_DK;Jul  8, 2012;[];6.0;6.0;6.0;0.0;inf;10
spider-man;10;Chris_DK;/user/Chris_DK;Jul  7, 2012;[];0.0;0.0;0.0;0.0;inf;10
valhalla-rising;10;dreamfar;/user/dreamfar;Feb 19, 2012;[];4.0;4.0;4.0;0.0;inf;10
cloud-atlas;10;Lsherman3;/user/Lsherman3;Nov  7, 2012;"[ ""They say its too long.  They say it doesn't make sense.  I was very surprised by these comments.  At 3 hours I didn't want it to end.  It takes you through the human experience and it doesn't spoon feed you.  if you snooze while watching you won't get it.  It's about getting involved with the stories.  I Just loved it. Saw it twice and enjoyed it even more the second time."" ]";2.0;4.0;2.0;2.0;inf;10
